stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code,state
204420,,Sydenham Station,-33.91445896,151.16652644,1,,1,,,NSW
204430,,Tempe Station,-33.92390407,151.15660038,1,,0,,,NSW
207110,,Killara Station,-33.76569908,151.16184659,1,,1,,,NSW
207210,,Gordon Station,-33.75591148,151.15444755,1,,1,,,NSW
207410,,Turramurra Station,-33.73258635,151.12863644,1,,1,,,NSW
207420,,Warrawee Station,-33.72439856,151.12182775,1,,1,,,NSW
207610,,Wahroonga Station,-33.71804522,151.11754490,1,,1,,,NSW
208120,,Cowan Station,-33.59356714,151.17177424,1,,0,,,NSW
208310,,Hawkesbury River Station,-33.54684344,151.22657548,1,,1,,,NSW
211410,,Denistone Station,-33.79962625,151.08692825,1,,1,,,NSW
211920,,Cheltenham Station,-33.75561151,151.07845967,1,,1,,,NSW
213710,,North Strathfield Station,-33.85918843,151.08818062,1,,1,,,NSW
213810,,Concord West Station,-33.84860505,151.08562376,1,,1,,,NSW
214230,,Clyde Station,-33.83595319,151.01694198,1,,0,,,NSW
214320,,Birrong Station,-33.89258874,151.02427803,1,,1,,,NSW
215010,,Harris Park Station,-33.82335268,151.00765002,1,,0,,,NSW
216330,,Carramar Station,-33.88445193,150.96098356,1,,0,,,NSW
217030,,Casula Station,-33.95021052,150.91182891,1,,1,,,NSW
220510,,Wolli Creek Station,-33.92853822,151.15411287,1,,1,,,NSW
220520,,Arncliffe Station,-33.93678246,151.14717400,1,,1,,,NSW
220530,,Turrella Station,-33.92979582,151.14033853,1,,1,,,NSW
220710,,Bardwell Park Station,-33.93130976,151.12559243,1,,0,,,NSW
220720,,Bexley North Station,-33.93750842,151.11377376,1,,1,,,NSW
220810,,Kingsgrove Station,-33.94048235,151.10081465,1,,1,,,NSW
220910,,Beverly Hills Station,-33.94912063,151.08086032,1,,1,,,NSW
220920,,Narwee Station,-33.94767733,151.07058514,1,,1,,,NSW
221010,,Riverwood Station,-33.95139401,151.05245738,1,,1,,,NSW
221610,,Banksia Station,-33.94499641,151.14058914,1,,1,,,NSW
221620,,Rockdale Station,-33.95224818,151.13661619,1,,1,,,NSW
221710,,Kogarah Station,-33.96254149,151.13248719,1,,1,,,NSW
221810,,Carlton Station,-33.96824293,151.12450153,1,,1,,,NSW
222020,,Allawah Station,-33.96972995,151.11454867,1,,1,,,NSW
222710,,Gymea Station,-34.03486950,151.08526089,1,,1,,,NSW
222810,,Miranda Station,-34.03625439,151.10209197,1,,1,,,NSW
223010,,Woolooware Station,-34.04754097,151.14375723,1,,1,,,NSW
223230,,Kirrawee Station,-34.03497564,151.07121805,1,,1,,,NSW
225010,,Wondabyne Station,-33.49214559,151.25699945,1,,0,,,NSW
225020,,Tascott Station,-33.45091719,151.31860852,1,,0,,,NSW
225030,,Point Clare Station,-33.44625901,151.32841514,1,,1,,,NSW
225040,,Gosford Station,-33.42348495,151.34173360,1,,1,,,NSW
225060,,Niagara Park Station,-33.38307663,151.35458344,1,,1,,,NSW
225070,,Lisarow Station,-33.38209529,151.37017048,1,,1,,,NSW
2250772,,Narara Station,-33.39461057,151.34452641,1,,1,,,NSW
225610,,Woy Woy Station,-33.48572837,151.32330628,1,,1,,,NSW
225620,,Koolewong Station,-33.46639025,151.31850646,1,,0,,,NSW
225810,,Ourimbah Station,-33.35974907,151.36999584,1,,1,,,NSW
225910,,Tuggerah Station,-33.30772394,151.42020531,1,,1,,,NSW
225920,,Wyong Station,-33.28539097,151.42523404,1,,1,,,NSW
225930,,Warnervale Station,-33.24732964,151.44885085,1,,0,,,NSW
225940,,Wyee Station,-33.18007088,151.48708552,1,,1,,,NSW
226410,,Morisset Station,-33.10896063,151.48814873,1,,1,,,NSW
226420,,Dora Creek Station,-33.08371456,151.50094658,1,,0,,,NSW
228310,,Awaba Station,-33.01297684,151.54212359,1,,0,,,NSW
228330,,Fassifern Station,-32.98563743,151.58094353,1,,1,,,NSW
228410,,Booragul Station,-32.97170853,151.60494259,1,,0,,,NSW
228420,,Teralba Station,-32.96253817,151.60347199,1,,0,,,NSW
228430,,Cockle Creek Station,-32.94267124,151.62376463,1,,0,,,NSW
228520,,Cardiff Station,-32.94142086,151.66266152,1,,1,,,NSW
228910,,Kotara Station,-32.94159203,151.69793551,1,,0,,,NSW
228920,,Adamstown Station,-32.93365273,151.72020335,1,,1,,,NSW
